Table 1.1a. Relative standard errors (%) of area of land cover by terrestrial ecozone in Canada. 
Terrestrial ecozone,TREED,NONTREED,LAND,WATER,OTHER
Taiga Plains,1.3,2.2,6.3,4.9,0.0
Taiga Shield,1.2,1.1,2.8,1.7,100.0
Boreal Shield,0.6,1.7,7.0,2.2,100.0
Atlantic Maritime,1.0,4.7,12.5,13.6,0.0
Mixedwood Plains,5.5,4.7,8.1,6.0,0.0
Boreal Plains,1.1,2.9,8.4,5.5,100.0
Prairies,5.8,1.3,4.4,8.3,0.0
Taiga Cordillera,4.5,2.4,4.3,20.3,0.0
Boreal Cordillera,2.5,3.0,4.4,10.9,0.0
Pacific Maritime,3.0,7.0,5.6,14.3,0.0
Montane Cordillera,1.3,3.8,5.8,11.2,0.0
Hudson Plains,1.7,1.9,17.6,5.2,0.0
Canada,0.4,0.6,1.6,1.3,62.1
