Table 4.1a. Relative standard errors (%) of area of forest and non-forest land by terrestrial ecozone in Canada.
Terrestrial ecozone,Forest land,Other wooded land,Other land with tree cover,Other Non-forest land
Taiga Plains,1.4,4.9,56.8,2.3
Taiga Shield,1.2,3.3,96.3,1.1
Boreal Shield,0.5,2.7,14.4,2.0
Atlantic Maritime,1.0,7.5,19.6,6.0
Mixedwood Plains,5.5,12.7,23.5,4.0
Boreal Plains,1.4,4.6,6.9,3.1
Prairies,9.2,16.3,6.7,0.6
Taiga Cordillera,4.6,8.3,0.0,1.8
Boreal Cordillera,2.7,6.5,9.6,2.6
Pacific Maritime,3.1,14.2,39.3,4.5
Montane Cordillera,1.5,9.3,8.0,3.7
Hudson Plains,2.9,3.0,39.7,2.0
Canada,0.4,1.5,3.8,0.6
